lead_id,lead_source,customer_age_group,customer_location,vehicle_type,new_or_used,budget_range,finance_enquiry,trade_in,test_drive_completed,quote_provided,previous_customer,response_time_hours,follow_up_count,days_since_enquiry,converted
L0114,Referral,25-34,Local,SUV,Used,Medium,0,0,1,0,0,16.9,3,29,1
L0115,Carsales,25-34,Local,SUV,New,Low,0,0,1,0,0,8.3,1,12,0
L0116,Referral,35-44,Far Suburb,SUV,Used,Medium,0,0,0,1,1,10.1,2,13,0
L0117,Referral,55+,Nearby Suburb,Ute,Used,Low,1,1,0,0,0,2.9,3,11,1
L0118,Website,35-44,Local,Ute,Demo,Medium,1,1,1,0,1,2.1,1,31,0
L0119,Referral,35-44,Local,SUV,New,High,1,0,1,0,0,10.5,1,11,1
L0120,Phone,45-54,Local,Ute,Used,Medium,1,0,1,0,0,21.4,4,41,0
L0121,Referral,35-44,Local,Ute,New,High,1,0,0,0,0,16.6,2,43,0
L0122,Referral,18-24,Local,Ute,New,Medium,0,0,0,0,0,15.0,4,36,0
L0123,Walk-in,35-44,Local,SUV,New,Low,1,0,1,1,0,11.2,4,2,1
L0124,Website,55+,Nearby Suburb,Hatchback,Demo,Medium,1,1,1,1,0,3.4,1,23,1
L0125,Website,25-34,Nearby Suburb,EV,Used,Medium,0,1,0,0,0,1.2,3,36,0
L0126,Walk-in,45-54,Nearby Suburb,Hatchback,Used,Medium,1,1,1,0,0,41.2,3,14,0
L0127,Referral,25-34,Nearby Suburb,SUV,Used,High,0,1,0,0,0,8.2,1,37,0
L0128,Referral,35-44,Local,Sedan,New,Medium,1,0,1,0,0,6.2,3,27,1
L0129,Website,18-24,Far Suburb,Hatchback,New,High,1,0,1,1,1,10.0,2,12,1
L0130,Phone,35-44,Far Suburb,Sedan,New,Medium,1,0,0,1,0,4.4,5,29,0
L0131,Walk-in,45-54,Far Suburb,SUV,New,Medium,0,0,1,0,0,6.7,5,6,0
L0132,Website,25-34,Far Suburb,SUV,Used,Medium,1,1,0,0,1,28.6,6,44,1
L0133,Website,35-44,Far Suburb,Ute,Used,Low,0,0,0,0,1,12.2,3,23,0
L0134,Walk-in,45-54,Nearby Suburb,Ute,New,High,0,0,0,1,0,14.2,2,10,1
L0135,Social Media,55+,Local,SUV,New,Medium,1,0,0,1,1,8.8,1,34,0
L0136,Walk-in,25-34,Nearby Suburb,EV,New,Low,1,1,0,1,0,19.7,2,44,1
L0137,Phone,25-34,Nearby Suburb,SUV,New,Low,1,0,1,1,0,19.3,1,12,1
L0138,Carsales,25-34,Nearby Suburb,Hatchback,Demo,Medium,0,1,1,0,0,8.1,3,32,0
L0139,Walk-in,55+,Nearby Suburb,Ute,Used,Low,0,1,0,1,0,9.6,4,26,0
L0140,Social Media,55+,Local,Ute,Used,Low,1,0,1,1,1,21.8,4,7,0
L0141,Social Media,35-44,Local,EV,Used,Medium,0,0,1,1,0,10.0,1,32,0
L0142,Walk-in,45-54,Far Suburb,SUV,New,Low,0,1,1,0,1,7.4,1,33,1
L0143,Phone,35-44,Nearby Suburb,Ute,New,Medium,1,0,1,1,0,7.8,5,18,0
L0144,Walk-in,35-44,Nearby Suburb,SUV,Demo,Low,0,1,0,1,0,6.7,3,35,0
L0145,Walk-in,18-24,Local,Hatchback,Used,Low,1,0,0,1,0,9.9,0,20,0
L0146,Website,45-54,Local,Ute,New,Medium,0,0,1,1,1,6.9,8,31,1
L0147,Carsales,25-34,Far Suburb,Hatchback,Used,Medium,0,1,0,1,0,9.9,2,5,1
L0148,Phone,45-54,Nearby Suburb,SUV,Used,Low,0,1,0,1,1,5.5,5,32,1
L0149,Website,45-54,Nearby Suburb,Ute,Used,Low,0,1,0,1,1,12.3,3,42,1
L0150,Walk-in,45-54,Nearby Suburb,SUV,Demo,Medium,0,1,0,1,0,13.6,2,19,0
L0151,Social Media,18-24,Nearby Suburb,SUV,Used,Low,0,1,0,0,0,15.2,7,1,0
L0152,Website,25-34,Local,Hatchback,Used,Low,0,1,0,0,1,13.8,0,7,0
L0153,Website,25-34,Nearby Suburb,Sedan,New,Low,0,1,0,0,1,18.7,3,22,0
L0154,Phone,25-34,Local,Ute,New,High,0,0,1,1,0,10.4,4,34,0
L0155,Social Media,18-24,Local,Sedan,New,Medium,0,0,1,1,0,9.8,4,10,1
L0156,Website,55+,Nearby Suburb,SUV,New,Medium,0,1,0,1,0,6.1,4,42,1
L0157,Carsales,35-44,Far Suburb,Ute,Used,Medium,1,0,0,0,0,16.2,8,26,1
L0158,Carsales,25-34,Local,Sedan,Used,Medium,1,0,0,0,0,6.4,4,32,0
L0159,Website,25-34,Far Suburb,SUV,New,Medium,1,0,0,0,0,2.0,2,42,0
L0160,Carsales,35-44,Local,Hatchback,Used,Medium,0,0,0,0,0,5.9,1,27,0
L0161,Walk-in,35-44,Local,Sedan,New,Low,1,0,0,1,0,17.0,2,12,0
L0162,Carsales,35-44,Local,Hatchback,New,Medium,1,0,1,0,0,14.8,0,40,0
L0163,Carsales,55+,Local,Sedan,New,Medium,1,1,0,1,0,11.5,4,23,0
L0164,Phone,35-44,Nearby Suburb,Ute,New,Medium,0,0,0,1,0,36.1,3,14,1
L0165,Website,55+,Local,Ute,New,Medium,1,0,0,0,0,12.4,1,34,0
L0166,Referral,45-54,Nearby Suburb,Hatchback,Used,Low,1,0,1,1,0,5.1,3,17,1
L0167,Walk-in,25-34,Far Suburb,SUV,New,Medium,1,0,1,0,0,4.8,6,6,0
L0168,Website,55+,Local,Ute,Demo,Medium,0,0,1,0,0,13.8,4,27,0
L0169,Website,18-24,Nearby Suburb,Hatchback,New,High,0,1,0,1,0,24.0,1,8,0
L0170,Carsales,45-54,Local,Hatchback,New,Low,0,0,0,1,1,9.7,1,33,0
L0171,Carsales,25-34,Nearby Suburb,Sedan,New,Medium,0,1,0,0,0,12.6,3,35,0
L0172,Website,45-54,Local,Ute,Used,Medium,1,0,1,0,0,13.1,3,17,1
L0173,Phone,45-54,Local,Hatchback,New,High,0,0,0,0,1,36.9,7,26,0
L0174,Website,45-54,Local,SUV,Used,Medium,0,0,1,0,0,18.0,5,7,0
L0175,Carsales,45-54,Local,Sedan,Used,Medium,0,0,1,1,1,20.9,7,24,0
L0176,Website,25-34,Local,Ute,Used,Medium,0,1,1,1,0,5.0,3,25,1
L0177,Carsales,18-24,Nearby Suburb,SUV,Used,Medium,0,1,0,0,0,6.4,2,35,0
L0178,Walk-in,25-34,Far Suburb,EV,New,High,1,0,1,1,0,6.0,4,26,1
L0179,Social Media,25-34,Far Suburb,Hatchback,New,Low,1,0,0,0,0,8.2,2,5,0
L0180,Website,45-54,Nearby Suburb,Hatchback,New,Low,0,0,0,0,0,10.3,6,38,0
L0181,Walk-in,25-34,Local,SUV,Used,High,0,0,0,1,0,12.0,3,35,1
L0182,Website,55+,Local,SUV,New,Medium,0,1,1,1,0,9.2,1,30,1
L0183,Social Media,35-44,Local,EV,New,Medium,0,0,0,1,1,5.9,2,25,0
L0184,Referral,45-54,Local,SUV,Demo,Medium,1,1,0,1,0,4.1,6,24,0
L0185,Walk-in,25-34,Nearby Suburb,Ute,New,Low,1,0,0,1,0,12.9,4,30,1
L0186,Carsales,45-54,Nearby Suburb,Sedan,Used,Medium,1,0,1,0,0,15.5,3,20,1
L0187,Referral,55+,Local,SUV,Used,Medium,1,0,1,1,0,8.5,4,3,1
L0188,Phone,35-44,Local,SUV,New,Low,0,0,1,1,0,2.4,3,32,0
L0189,Phone,35-44,Far Suburb,Sedan,New,Low,1,1,0,0,0,17.9,4,8,0
L0190,Website,45-54,Nearby Suburb,EV,New,High,1,0,0,1,0,8.2,2,23,0
L0191,Website,25-34,Local,Sedan,Used,Low,1,1,1,0,1,3.1,7,16,1
L0192,Referral,35-44,Far Suburb,Sedan,Used,High,0,0,0,0,0,9.6,3,35,1
L0193,Social Media,25-34,Far Suburb,SUV,Used,Low,1,1,1,1,0,18.7,4,25,0
L0194,Carsales,25-34,Local,Sedan,Demo,Medium,1,0,1,0,0,7.2,6,15,0
L0195,Walk-in,25-34,Local,Sedan,Used,High,1,1,0,1,0,0.9,4,8,1
L0196,Walk-in,18-24,Nearby Suburb,Ute,New,Medium,0,1,0,0,0,7.9,2,34,0
L0197,Carsales,18-24,Far Suburb,Sedan,New,Medium,1,1,1,1,1,5.7,6,25,1
L0198,Referral,25-34,Far Suburb,Sedan,Used,Medium,1,0,0,0,1,10.9,2,44,1
L0199,Referral,55+,Local,SUV,New,Low,1,1,0,0,0,9.8,3,19,0
L0200,Carsales,35-44,Local,EV,New,Low,1,0,1,0,0,6.7,2,43,0
L0201,Carsales,55+,Nearby Suburb,SUV,Used,High,1,0,0,1,0,6.4,4,13,0
L0202,Website,35-44,Nearby Suburb,SUV,New,Medium,0,0,1,1,0,22.3,6,12,0
L0203,Website,25-34,Local,Hatchback,Demo,Medium,1,0,0,1,0,13.7,2,15,0
L0204,Referral,35-44,Far Suburb,Hatchback,Used,Medium,0,1,1,0,0,13.4,2,23,1
L0205,Carsales,35-44,Nearby Suburb,Sedan,New,Low,1,0,0,0,0,17.2,6,40,0
L0206,Website,18-24,Far Suburb,Sedan,Demo,Low,0,0,0,0,0,8.1,2,2,0
L0207,Website,35-44,Far Suburb,Ute,New,Medium,0,1,1,1,1,26.1,1,40,1
L0208,Carsales,25-34,Nearby Suburb,SUV,New,Medium,1,0,1,0,1,12.1,6,23,0
L0209,Website,35-44,Local,Ute,New,Medium,1,1,0,1,0,10.5,4,5,0
L0210,Website,35-44,Nearby Suburb,Hatchback,New,High,1,0,0,1,0,12.0,4,34,1
L0211,Phone,25-34,Local,Sedan,Used,Low,1,0,1,0,1,7.9,2,10,1
L0212,Carsales,18-24,Nearby Suburb,Sedan,New,Medium,1,0,0,0,0,5.9,1,27,0
L0213,Carsales,45-54,Local,SUV,New,Low,0,1,1,1,1,19.9,4,42,1
L0214,Website,35-44,Nearby Suburb,Ute,New,Medium,0,1,1,0,0,3.8,5,4,1
L0215,Carsales,18-24,Local,Sedan,Used,Low,0,1,1,0,0,4.1,5,4,0
L0216,Website,55+,Local,SUV,Used,High,0,0,0,0,0,9.0,2,8,0
L0217,Walk-in,18-24,Local,Hatchback,New,Low,0,0,0,1,1,5.0,2,6,0
L0218,Carsales,45-54,Local,EV,New,High,1,0,1,1,0,2.4,3,25,0
L0219,Carsales,55+,Nearby Suburb,Sedan,New,Medium,1,0,0,0,0,4.0,7,27,0
L0220,Referral,25-34,Nearby Suburb,EV,New,High,0,0,0,0,0,5.1,3,40,1
L0221,Carsales,25-34,Nearby Suburb,SUV,Used,Medium,0,1,0,0,1,12.5,5,20,0
L0222,Phone,25-34,Local,SUV,Used,High,1,0,0,1,1,8.5,4,27,1
L0223,Website,25-34,Local,SUV,New,Low,0,0,0,0,1,17.7,2,7,0
L0224,Walk-in,18-24,Local,Sedan,New,Medium,0,1,0,0,1,3.8,0,23,0
L0225,Walk-in,45-54,Local,SUV,New,High,1,1,1,1,0,4.4,4,20,1
L0226,Website,18-24,Far Suburb,SUV,Used,Low,1,0,0,1,0,11.2,0,34,0
L0227,Social Media,35-44,Local,EV,New,Low,0,0,0,1,0,5.7,1,29,0
L0228,Walk-in,55+,Local,Ute,Demo,Medium,1,0,0,1,0,7.6,1,44,0
L0229,Referral,45-54,Local,Ute,Used,High,0,0,0,0,1,4.0,6,5,0
L0230,Carsales,35-44,Local,SUV,New,Medium,1,1,0,0,1,3.8,2,27,1
L0231,Referral,25-34,Nearby Suburb,SUV,Used,Medium,0,0,1,0,0,5.5,7,12,0
L0232,Phone,35-44,Nearby Suburb,SUV,Demo,Low,0,1,1,0,0,18.4,4,17,0
L0233,Phone,35-44,Local,Hatchback,Used,Low,1,1,0,1,1,3.1,6,37,1
L0234,Phone,35-44,Local,EV,New,High,0,0,0,1,0,19.8,5,34,0
L0235,Website,25-34,Local,Sedan,New,Low,1,0,0,1,0,17.3,1,30,0
L0236,Carsales,45-54,Local,SUV,Used,Medium,0,0,1,0,0,6.7,4,36,0
L0237,Walk-in,35-44,Local,Sedan,Used,High,0,1,1,1,0,9.8,3,6,1
L0238,Website,25-34,Far Suburb,SUV,Used,Low,0,0,1,1,0,11.9,5,32,1
L0239,Carsales,25-34,Nearby Suburb,Sedan,Demo,Medium,0,0,0,0,0,15.0,1,32,0
L0240,Website,25-34,Nearby Suburb,Hatchback,Demo,Low,1,0,1,1,0,4.4,3,9,1
L0241,Social Media,45-54,Local,Hatchback,Demo,Medium,0,0,0,0,1,16.2,5,22,0
L0242,Social Media,45-54,Local,SUV,New,Low,1,1,0,0,0,10.3,3,10,0
L0243,Social Media,45-54,Nearby Suburb,SUV,Used,Medium,1,0,1,1,0,4.7,0,29,1
L0244,Walk-in,18-24,Nearby Suburb,EV,Used,Low,1,0,1,1,1,10.4,2,11,1
L0245,Website,25-34,Nearby Suburb,SUV,Used,Medium,0,0,0,0,0,4.6,2,28,0
L0246,Social Media,35-44,Local,SUV,Used,Medium,1,0,0,0,0,9.5,3,2,0
L0247,Walk-in,18-24,Nearby Suburb,SUV,New,Low,0,1,0,1,1,6.9,4,21,0
L0248,Social Media,25-34,Local,SUV,Used,Medium,0,1,0,1,0,10.8,4,31,0
L0249,Social Media,45-54,Far Suburb,Sedan,Used,Low,0,0,0,1,1,11.2,3,41,0
L0250,Referral,25-34,Nearby Suburb,Ute,New,Medium,0,0,1,0,0,21.5,0,17,1
L0251,Walk-in,35-44,Nearby Suburb,SUV,Used,Low,0,0,1,0,0,14.4,2,27,0
L0252,Walk-in,25-34,Local,Sedan,New,Medium,1,0,1,0,0,12.8,2,30,1
L0253,Referral,18-24,Nearby Suburb,Hatchback,New,Low,0,0,1,0,0,2.2,9,41,1
L0254,Walk-in,25-34,Local,Sedan,New,Medium,0,1,0,0,1,18.0,3,8,0
L0255,Website,55+,Local,Ute,New,Low,1,0,1,0,0,7.1,5,37,0
L0256,Phone,45-54,Local,Ute,Used,Medium,0,1,1,1,1,4.0,3,5,1
L0257,Social Media,55+,Nearby Suburb,SUV,Used,Low,0,0,0,0,1,32.4,4,26,0
L0258,Carsales,35-44,Local,Ute,Used,High,0,1,0,1,0,5.7,2,6,1
L0259,Phone,18-24,Local,Sedan,Used,High,1,0,0,0,1,23.0,0,16,1
L0260,Website,35-44,Far Suburb,EV,New,Low,0,1,1,0,0,12.0,1,1,1
L0261,Carsales,35-44,Local,Sedan,New,Medium,0,0,1,0,0,13.8,0,9,1
L0262,Social Media,45-54,Nearby Suburb,EV,Demo,Low,0,0,0,0,1,9.6,2,21,0
L0263,Website,18-24,Local,Ute,New,Medium,1,1,1,0,0,4.8,5,7,1
L0264,Phone,35-44,Local,SUV,Demo,Medium,1,0,0,1,0,15.5,3,43,0
L0265,Referral,25-34,Nearby Suburb,Sedan,Used,Medium,1,1,1,1,0,11.4,3,15,1
L0266,Carsales,25-34,Local,EV,Used,Medium,0,1,0,0,0,11.3,2,24,0
L0267,Carsales,45-54,Nearby Suburb,Ute,Demo,Low,0,0,0,0,0,10.2,1,5,0
L0268,Carsales,35-44,Nearby Suburb,SUV,New,Medium,0,0,0,1,0,8.0,3,38,1
L0269,Walk-in,25-34,Nearby Suburb,Hatchback,New,Low,0,0,1,1,0,15.6,2,29,0
L0270,Walk-in,25-34,Nearby Suburb,SUV,Used,Medium,0,0,0,0,0,13.5,2,11,0
L0271,Referral,35-44,Local,SUV,New,Medium,0,0,1,1,0,16.8,3,4,1
L0272,Referral,45-54,Local,Sedan,Demo,Medium,0,1,0,1,0,8.3,1,10,1
L0273,Referral,55+,Nearby Suburb,SUV,New,Low,1,0,1,1,0,7.8,0,34,0
L0274,Social Media,55+,Nearby Suburb,Ute,Used,Low,0,0,1,1,1,6.5,3,4,0
L0275,Phone,45-54,Far Suburb,SUV,Used,Low,1,0,0,1,0,10.4,3,10,1
L0276,Phone,25-34,Far Suburb,Ute,Used,Low,0,0,0,1,0,2.3,5,33,0
L0277,Referral,35-44,Far Suburb,SUV,New,Low,0,0,1,0,0,42.4,2,18,0
L0278,Carsales,35-44,Nearby Suburb,SUV,New,High,0,1,1,1,0,6.0,3,12,1
L0279,Carsales,25-34,Local,SUV,Used,High,0,1,1,1,0,21.1,3,23,0
L0280,Referral,45-54,Nearby Suburb,SUV,New,Medium,0,0,0,1,1,7.0,2,44,0
L0281,Referral,18-24,Nearby Suburb,SUV,Used,Medium,0,1,0,1,1,14.3,6,25,0
L0282,Walk-in,55+,Local,SUV,Used,Low,1,0,1,0,1,27.6,5,37,1
L0283,Walk-in,35-44,Far Suburb,Hatchback,Used,High,1,1,0,0,1,13.8,3,4,0
L0284,Website,35-44,Far Suburb,SUV,Used,Low,0,1,0,0,0,26.6,1,13,0
